probe1.1	medianRT1	tValueMean1	tValueSd1	tValueMedian1	tValueQ251	tValueQ751
"$1,000,000 cash"	6956	3.351751021	3.023626379	2.669465032	2.180031468	3.249897123
a baby blanket	4783	1.802599433	0.68118476	1.861645567	1.405115826	2.1384692
a bag of old clothes	4155.5	1.391145351	0.624548084	1.584893192	1.148698355	1.861645567
a baseball	3101	1.213709187	0.540011494	1.258925412	1	1.584893192
a billionaire	5326.5	3.22565636	3.701202903	2.291954539	1.995262315	2.950509385
a birthday present	4026	1.742266414	0.547608767	1.861645567	1.44612555	1.995262315
a blind person	4812	4.16450345	15.19734145	2.482784839	2.124345864	2.800031876
a book	3547	1.628937887	0.547301009	1.584893192	1.349282848	1.925350509
a bottle of wine	3704	1.461487674	0.78796707	1.584893192	1.258925412	1.861645567
a brand new bike	4578	1.779383147	0.557597125	1.865300915	1.532157905	2.124345864
a candle	3066.5	1.238610741	0.582171212	1.258925412	1	1.584893192
a celebrity	4947.5	2.354093249	1.104062724	2.226958508	1.995262315	2.692173218
a child	4047	44.70677844	594.3400857	2.669465032	2.343947683	3.16227766
a chocolate bar	3016	1.365640604	0.520839559	1.330151135	1.116123174	1.650475667
a college diploma	5836.5	2.915457868	1.490180041	2.511886432	2.102630525	3.16227766
a college student	4222.5	3.289321199	3.357433444	2.456456052	2.1384692	2.950509385
a congressman	3895	2.217041574	0.996864439	2.1384692	1.76893602	2.511886432
a convict	4159.5	2.062102328	5.354037341	1.906438983	1	2.077825759
a coworker	4219	2.704252494	1.546240839	2.423872682	2.1384692	2.692173218
a dead body	5780	1.512939164	0.884504694	1.690542972	1.10504974	2.124345864
a diamond	4524.5	2.062275358	0.687861796	1.995262315	1.861645567	2.343672912
a diary	3523	1.585644604	0.697743366	1.698646465	1.258925412	1.995062699
a frog	4245	1.686709372	0.500638091	1.861645567	1.532157905	2.019487996
a gang member	4042.5	3.296704741	18.31317943	1.698646465	1	1.995262315
a graduation cap	4263	1.68359092	0.734583068	1.690542972	1.258925412	2.124345864
a homeless adult	4592	9.930547593	86.45357283	2.343672912	1.995262315	2.511886432
a hydro electric plant	6177	2.246499728	0.994010541	2.124345864	1.690542972	2.586250589
a judge	3966	2.552885972	0.948557209	2.343672912	1.995262315	2.511886432
a kayak	3819.5	1.681592378	0.457375078	1.76893602	1.478757637	1.9512324
a key	3777	1.495277682	0.499504789	1.505965855	1.258925412	1.861645567
a kindergartener	4326.5	3.001857995	1.816601367	2.511886432	2.226958508	3.146098825
a lion	4058.5	2.11297627	0.409248159	2.124345864	1.995262315	2.226958508
a mailbox	3508	1.415312841	0.484183326	1.478757637	1.258925412	1.698646465
a motorcycle	4526.5	1.815562486	0.717360784	1.895898684	1.584893192	2.1384692
a newborn baby	4249	53.63558858	599.1953679	2.885399812	2.423872682	3.981071706
