IA1	IA2	IB1	IB2	averageP	sdp	overlap	direction
a terrorist	NA	a mother	NA	0.00517456896551724	0.00447763483468907	0.0103491379310345	-1
a judge	NA	a convict	NA	0.791652	0.0357568097772361	0.416696	1
a thief	NA	a pedophile	NA	0.719042016806723	0.0369728819236534	0.561915966386555	1
a pedophile	NA	an elderly person	NA	0.0139078947368421	0.0074677739122929	0.0278157894736842	-1
an astronaut	NA	an adult	NA	0.493131498470948	0.0272680159366007	0.986262996941896	-1
a congressman	NA	a celebrity	NA	0.463774509803922	0.0483381900920476	0.927549019607843	-1
an addict	NA	an assassin	NA	0.742602564102564	0.0378194159281172	0.514794871794872	1
a gang member	NA	a soldier	NA	0.0758521739130435	0.0239159450181738	0.151704347826087	-1
a mentor	NA	a nun	NA	0.596495798319328	0.0431314790683332	0.807008403361344	1
a mother	NA	an adult	NA	0.746754524886878	0.020467399430788	0.506490950226244	1
a police officer	NA	an olympian	NA	0.594423728813559	0.0436414803868179	0.811152542372881	1
a soldier	NA	a nun	NA	0.709383620689655	0.0410567528219807	0.58123275862069	1
an addict	NA	an elderly person	NA	0.214862595419847	0.0255749293789659	0.429725190839695	-1
an elderly person	NA	an astronaut	NA	0.555407894736842	0.0300808010837239	0.889184210526316	1
a congressman	NA	a police officer	NA	0.319620689655172	0.0436110766260418	0.639241379310345	-1
a convict	NA	a father	NA	0.0913954918032787	0.0179740959644133	0.182790983606557	-1
an assassin	NA	a rapist	NA	0.629487903225806	0.0372615608575912	0.741024193548387	1
a soldier	NA	a pedophile	NA	0.994269230769231	0.00640593296646398	0.0114615384615384	1
a terrorist	NA	an elderly person	NA	0.027712927756654	0.00980971934005681	0.055425855513308	-1
a celebrity	NA	a judge	NA	0.43335	0.0464183537895002	0.8667	-1
a celebrity	NA	a terrorist	NA	0.89997247706422	0.0260672606142907	0.20005504587156	1
a teacher	NA	a police officer	NA	0.50743153526971	0.030105288474451	0.985136929460581	1
an astronaut	NA	a gang member	NA	0.891122881355932	0.0277847781155278	0.217754237288136	1
a teacher	NA	a rapist	NA	0.983102941176471	0.00782771926153781	0.0337941176470589	1
a father	NA	a terrorist	NA	0.98993347639485	0.00617332213792112	0.0201330472103005	1
an adult	NA	a congressman	NA	0.650591194968553	0.0268269098919689	0.698817610062893	1
a mother	NA	a judge	NA	0.79468025751073	0.026299432995738	0.410639484978541	1
a thief	NA	an adult	NA	0.109570552147239	0.0174516606714938	0.219141104294479	-1
a police officer	NA	a terrorist	NA	0.968650406504065	0.0154843185615676	0.0626991869918698	1
a convict	NA	an addict	NA	0.398727642276423	0.0432308099274897	0.797455284552846	-1
a rapist	NA	a mother	NA	0.0046281512605042	0.00411444451144368	0.0092563025210084	-1
a terrorist	NA	a judge	NA	0.0402521739130435	0.0178506153051656	0.080504347826087	-1
a congressman	NA	an assassin	NA	0.805220720720721	0.035824879997676	0.389558558558559	1
a thief	NA	an olympian	NA	0.118436936936937	0.0287406664540503	0.236873873873874	-1
a thief	NA	an assassin	NA	0.55422268907563	0.0425679432597981	0.89155462184874	1
a father	NA	an assassin	NA	0.969143459915612	0.0105394646930203	0.0617130801687764	1
a nun	NA	a celebrity	NA	0.562175675675676	0.0461752958544942	0.875648648648649	1
a police officer	NA	a rapist	NA	0.971980620155039	0.013980147105044	0.0560387596899226	1
a judge	NA	a thief	NA	0.871737068965517	0.028390528619734	0.256525862068965	1
a terrorist	NA	a rapist	NA	0.537845833333333	0.0392199796092572	0.924308333333333	1
a judge	NA	a police officer	NA	0.402262096774194	0.0432364225223982	0.804524193548387	-1
a mentor	NA	a thief	NA	0.915995762711864	0.0245455429359125	0.168008474576271	1
an adult	NA	a celebrity	NA	0.605858934169279	0.0273168443078835	0.788282131661442	1
an addict	NA	a mother	NA	0.091991341991342	0.0181780209561041	0.183982683982684	-1
a mother	NA	a police officer	NA	0.710356846473029	0.0281830163584202	0.579286307053942	1
a rapist	NA	a teacher	NA	0.0165651260504202	0.00786449482710889	0.0331302521008403	-1
an adult	NA	a rapist	NA	0.965043939393939	0.0101674445339857	0.0699121212121212	1
a gang member	NA	an assassin	NA	0.58413025210084	0.0422032335504803	0.831739495798319	1
a nun	NA	a gang member	NA	0.859474358974359	0.0307142689217667	0.281051282051282	1
a congressman	NA	a nun	NA	0.396145454545455	0.0432117769930147	0.792290909090909	-1
a thief	NA	an elderly person	NA	0.0906969696969697	0.0173588055534438	0.181393939393939	-1
an olympian	NA	an elderly person	NA	0.408201550387597	0.0297677516405341	0.816403100775194	-1
a judge	NA	an astronaut	NA	0.447169491525424	0.0448414341735457	0.894338983050847	-1
an addict	NA	a mentor	NA	0.212234782608696	0.0361100979709328	0.424469565217391	-1
a pedophile	NA	a teacher	NA	0.0079978813559322	0.0055882956669262	0.0159957627118644	-1
an elderly person	NA	a police officer	NA	0.503196691176471	0.029842232861231	0.993606617647059	1
a father	NA	a mother	NA	0.459780626780627	0.0256042913628939	0.919561253561254	-1
a mentor	NA	a police officer	NA	0.489804	0.042678977015377	0.979608	-1
a congressman	NA	a thief	NA	0.764889908256881	0.0396501720791902	0.470220183486239	1
a rapist	NA	a pedophile	NA	0.521764227642276	0.0352427180359701	0.956471544715447	1
a thief	NA	a police officer	NA	0.0963588709677419	0.0257171679006848	0.192717741935484	-1
an elderly person	NA	a teacher	NA	0.493971128608924	0.027393543829801	0.987942257217848	-1
an addict	NA	a police officer	NA	0.21980737704918	0.0364951150048707	0.439614754098361	-1
a father	NA	a celebrity	NA	0.781541666666667	0.0263936315969996	0.436916666666667	1
a teacher	NA	a mentor	NA	0.518540425531915	0.0326346822782704	0.96291914893617	1
an addict	NA	an astronaut	NA	0.230875	0.0369795520057662	0.46175	-1
an adult	NA	a thief	NA	0.891306748466258	0.0174389846956475	0.217386503067485	1
an olympian	NA	a congressman	NA	0.611873786407767	0.046509738803346	0.776252427184466	1
a rapist	NA	a terrorist	NA	0.466308333333333	0.038793722933616	0.932616666666667	-1
an elderly person	NA	an addict	NA	0.787364503816794	0.0241345216461981	0.425270992366412	1
a gang member	NA	a teacher	NA	0.0962296137339056	0.0184592201515834	0.192459227467811	-1
a soldier	NA	a congressman	NA	0.769714953271028	0.0404211992450958	0.460570093457944	1
a teacher	NA	an astronaut	NA	0.569895744680851	0.0317254759184954	0.860208510638298	1
an assassin	NA	a terrorist	NA	0.601690677966102	0.0400337994730118	0.796618644067797	1
a gang member	NA	a celebrity	NA	0.222436363636364	0.0383176606690989	0.444872727272727	-1
a pedophile	NA	a nun	NA	0.0181041666666667	0.0115075477967803	0.0362083333333333	-1
an olympian	NA	a gang member	NA	0.862522727272727	0.0307579069199172	0.274954545454545	1
a gang member	NA	a rapist	NA	0.716512396694215	0.0363374512484751	0.56697520661157	1
an assassin	NA	a thief	NA	0.444273109243698	0.0408563234657541	0.888546218487395	-1
a congressman	NA	a convict	NA	0.683330508474576	0.0401888856674426	0.633338983050847	1
an olympian	NA	a rapist	NA	0.967008695652174	0.0152562042717714	0.0659826086956521	1
a thief	NA	a teacher	NA	0.076792735042735	0.0167994236143897	0.15358547008547	-1
a gang member	NA	a terrorist	NA	0.690995652173913	0.0393443060752799	0.618008695652174	1
a convict	NA	a pedophile	NA	0.7903359375	0.0330468046540178	0.419328125	1
a nun	NA	a soldier	NA	0.293077586206897	0.0421880737204486	0.586155172413793	-1
a police officer	NA	a father	NA	0.329262396694215	0.0284990306205988	0.65852479338843	-1
a terrorist	NA	a celebrity	NA	0.10005504587156	0.0267209566327444	0.200110091743119	-1
an astronaut	NA	an elderly person	NA	0.444813909774436	0.0304460493927042	0.889627819548872	-1
a judge	NA	an assassin	NA	0.900025210084034	0.0263679974577647	0.199949579831933	1
an assassin	NA	an elderly person	NA	0.0692097378277154	0.0156162008455766	0.138419475655431	-1
an elderly person	NA	a thief	NA	0.909357954545455	0.0174711382276101	0.181284090909091	1
a thief	NA	a judge	NA	0.129870689655172	0.0303322798743317	0.259741379310345	-1
a mother	NA	a mentor	NA	0.726324786324786	0.0288917356252431	0.547350427350427	1
a nun	NA	an astronaut	NA	0.438193277310924	0.0445652362071678	0.876386554621849	-1
a mentor	NA	an elderly person	NA	0.489392452830189	0.0304214539373463	0.978784905660377	-1
a father	NA	a nun	NA	0.757449152542373	0.028135729153371	0.485101694915254	1
a nun	NA	a father	NA	0.244908898305085	0.0268735182847555	0.48981779661017	-1
an astronaut	NA	an olympian	NA	0.547111607142857	0.0458342367237712	0.905776785714286	1
an adult	NA	an addict	NA	0.751783281733746	0.0238059861034681	0.496433436532508	1
a mentor	NA	a congressman	NA	0.682318181818182	0.0439443123759321	0.635363636363636	1
an assassin	NA	a judge	NA	0.0979243697478992	0.0253081581974697	0.195848739495798	-1
a police officer	NA	a convict	NA	0.836687969924812	0.0307180550701217	0.326624060150376	1
a convict	NA	a rapist	NA	0.760876923076923	0.0344763804677822	0.478246153846154	1
a thief	NA	a nun	NA	0.122233050847458	0.0294104936985578	0.244466101694915	-1
