IA1	IA2	IB1	IB2	averageP	sdp	overlap	direction
a terrorist	NA	a mother	NA	0.00517672413793103	0.00420463157686955	0.010353448275862	-1
a judge	NA	a convict	NA	0.791888	0.0352365303210896	0.416224	1
a thief	NA	a pedophile	NA	0.720235294117647	0.0345664852237576	0.559529411764706	1
a pedophile	NA	an elderly person	NA	0.0137011278195489	0.00710012612831826	0.0274022556390977	-1
an astronaut	NA	an adult	NA	0.495567278287462	0.0281064829555862	0.991134556574924	-1
a congressman	NA	a celebrity	NA	0.463137254901961	0.0489384792546786	0.926274509803922	-1
an addict	NA	an assassin	NA	0.743038461538462	0.0367467441127415	0.513923076923077	1
a gang member	NA	a soldier	NA	0.0759608695652174	0.024337922478643	0.151921739130435	-1
a mentor	NA	a nun	NA	0.597025210084034	0.0448253268174107	0.805949579831933	1
a mother	NA	an adult	NA	0.748242081447964	0.0196111446731235	0.503515837104072	1
a police officer	NA	an olympian	NA	0.594466101694915	0.0433298985535816	0.81106779661017	1
a soldier	NA	a nun	NA	0.709797413793103	0.041538608143743	0.580405172413793	1
an addict	NA	an elderly person	NA	0.214225190839695	0.0256342475835577	0.428450381679389	-1
an elderly person	NA	an astronaut	NA	0.552804511278196	0.0292673439328362	0.894390977443609	1
a congressman	NA	a police officer	NA	0.320318965517241	0.0429784447796939	0.640637931034483	-1
a convict	NA	a father	NA	0.0912356557377049	0.018136322882118	0.18247131147541	-1
an assassin	NA	a rapist	NA	0.629766129032258	0.0363046432183375	0.740467741935484	1
a soldier	NA	a pedophile	NA	0.994679487179487	0.0061142810827122	0.0106410256410256	1
a terrorist	NA	an elderly person	NA	0.0271882129277567	0.00999682774523324	0.0543764258555133	-1
a celebrity	NA	a judge	NA	0.434959090909091	0.0450297556944979	0.869918181818182	-1
a celebrity	NA	a terrorist	NA	0.898100917431193	0.0281645032882511	0.203798165137615	1
a teacher	NA	a police officer	NA	0.508873443983403	0.0312089025607983	0.982253112033195	1
an astronaut	NA	a gang member	NA	0.893364406779661	0.0277765195246666	0.213271186440678	1
a teacher	NA	a rapist	NA	0.983474789915966	0.00776450344183645	0.0330504201680673	1
a father	NA	a terrorist	NA	0.990199570815451	0.00603054249622404	0.0196008583690988	1
an adult	NA	a congressman	NA	0.651511006289308	0.0259783290002251	0.696977987421384	1
a mother	NA	a judge	NA	0.79499356223176	0.0261384733289718	0.410012875536481	1
a thief	NA	an adult	NA	0.110409509202454	0.0178168963316951	0.220819018404908	-1
a police officer	NA	a terrorist	NA	0.967609756097561	0.0147433426756241	0.0647804878048781	1
a convict	NA	an addict	NA	0.39749593495935	0.0421983928712286	0.794991869918699	-1
a rapist	NA	a mother	NA	0.00483403361344538	0.00390883961982208	0.00966806722689073	-1
a terrorist	NA	a judge	NA	0.0408130434782609	0.0171652800634389	0.0816260869565217	-1
a congressman	NA	an assassin	NA	0.801738738738739	0.0378288090714196	0.396522522522523	1
a thief	NA	an olympian	NA	0.118545045045045	0.0288905752904035	0.23709009009009	-1
a thief	NA	an assassin	NA	0.555550420168067	0.0420622391714445	0.888899159663866	1
a father	NA	an assassin	NA	0.969261603375527	0.010541361717959	0.0614767932489451	1
a nun	NA	a celebrity	NA	0.562527027027027	0.0465975371595746	0.874945945945946	1
a police officer	NA	a rapist	NA	0.971538759689922	0.0145291473964269	0.0569224806201551	1
a judge	NA	a thief	NA	0.871849137931034	0.0296738466892626	0.256301724137931	1
a terrorist	NA	a rapist	NA	0.533608333333333	0.0377214764396197	0.932783333333333	1
a judge	NA	a police officer	NA	0.401846774193548	0.041847134900118	0.803693548387097	-1
a mentor	NA	a thief	NA	0.916834745762712	0.0242009964052922	0.166330508474576	1
an adult	NA	a celebrity	NA	0.606115987460815	0.0253979327131008	0.78776802507837	1
an addict	NA	a mother	NA	0.0907142857142857	0.0174898192189698	0.181428571428571	-1
a mother	NA	a police officer	NA	0.710060165975104	0.0275991291948531	0.579879668049793	1
a rapist	NA	a teacher	NA	0.0165126050420168	0.0074284546524503	0.0330252100840336	-1
an adult	NA	a rapist	NA	0.965409090909091	0.0102770513723886	0.0691818181818182	1
a gang member	NA	an assassin	NA	0.583668067226891	0.0420469586297038	0.832663865546218	1
a nun	NA	a gang member	NA	0.857384615384615	0.0305932959398391	0.285230769230769	1
a congressman	NA	a nun	NA	0.391368181818182	0.0461657884118652	0.782736363636364	-1
a thief	NA	an elderly person	NA	0.091532196969697	0.0172942844965217	0.183064393939394	-1
an olympian	NA	an elderly person	NA	0.409420542635659	0.0297431329037213	0.818841085271318	-1
a judge	NA	an astronaut	NA	0.44481779661017	0.0430967652069555	0.889635593220339	-1
an addict	NA	a mentor	NA	0.210147826086957	0.0354375504058751	0.420295652173913	-1
a pedophile	NA	a teacher	NA	0.0078728813559322	0.00547086739265933	0.0157457627118645	-1
an elderly person	NA	a police officer	NA	0.502522058823529	0.0298861071980259	0.994955882352941	1
a father	NA	a mother	NA	0.459779202279202	0.0256343615353368	0.919558404558405	-1
a mentor	NA	a police officer	NA	0.489088	0.043448544648032	0.978176	-1
a congressman	NA	a thief	NA	0.764889908256881	0.0405738339471691	0.470220183486239	1
a rapist	NA	a pedophile	NA	0.524906504065041	0.0348372597058541	0.950186991869919	1
a thief	NA	a police officer	NA	0.0960362903225806	0.0252287459284992	0.192072580645161	-1
an elderly person	NA	a teacher	NA	0.492979002624672	0.0256785743151886	0.985958005249344	-1
an addict	NA	a police officer	NA	0.220176229508197	0.0365121477910874	0.440352459016393	-1
a father	NA	a celebrity	NA	0.782600877192982	0.0258413834613843	0.434798245614035	1
a teacher	NA	a mentor	NA	0.520195744680851	0.0311992790887623	0.959608510638298	1
an addict	NA	an astronaut	NA	0.231077586206897	0.0392626925127599	0.462155172413793	-1
an adult	NA	a thief	NA	0.890463190184049	0.017187144954288	0.219073619631902	1
an olympian	NA	a congressman	NA	0.612834951456311	0.0476739841926678	0.774330097087379	1
a rapist	NA	a terrorist	NA	0.4682625	0.0372688047508578	0.936525	-1
an elderly person	NA	an addict	NA	0.785517175572519	0.0251588303222537	0.428965648854962	1
a gang member	NA	a teacher	NA	0.0968669527896996	0.0178064078224905	0.193733905579399	-1
a soldier	NA	a congressman	NA	0.768658878504673	0.0401183011987094	0.462682242990654	1
a teacher	NA	an astronaut	NA	0.572751063829787	0.0312281555826837	0.854497872340426	1
an assassin	NA	a terrorist	NA	0.603055084745763	0.0402484793346647	0.793889830508475	1
a gang member	NA	a celebrity	NA	0.222540909090909	0.0381747430817349	0.445081818181818	-1
a pedophile	NA	a nun	NA	0.0177291666666667	0.0112833674207913	0.0354583333333334	-1
