Exp_Name	sn	Gender	Birth	cond	sess	trial_index	Block	BlockIt	TrialinBlock	StimNum	FrameNum	FrameName	respType	posttgap	stim_dur	keybResp	keybRT	keyDef	FeedBack	ShowFeedBack	Set	IA.1	IA.2	IB.1	IB.2	agent	method	type	ones	trial	QuantOption1	QuantOption2	trial_type
peoplePairsExperiment	1003_35214_1297605849	Female	21	PeoplePairs	NA	11	1	1	1	2364	6	test	key	500	NA	D	16682	Yes	NA	NA	2_1	a convict	an astronaut	an Olympian	NA	you	killed	simplified	1	1	2	1	1
peoplePairsExperiment	1003_35214_1297605849	Female	21	PeoplePairs	NA	17	1	1	2	2431	6	test	key	500	NA	D	3114	Yes	NA	NA	2_1	an adult	a convict	an addict	NA	you	killed	simplified	1	2	2	1	1
peoplePairsExperiment	1003_35214_1297605849	Female	21	PeoplePairs	NA	24	1	1	3	2289	6	test	key	500	NA	K	4295	No	NA	NA	2_1	a rapist	a mother	a congressman	NA	you	killed	simplified	1	3	2	1	1
peoplePairsExperiment	1003_35214_1297605849	Female	21	PeoplePairs	NA	30	1	1	4	976	6	test	key	500	NA	K	11313	No	NA	NA	1_1	an astronaut	NA	a celebrity	NA	you	killed	simplified	1	4	1	1	1
peoplePairsExperiment	1003_35214_1297605849	Female	21	PeoplePairs	NA	36	1	1	5	3252	6	test	key	500	NA	D	4973	Yes	NA	NA	2_2	a thief	a father	an Olympian	a terrorist	you	killed	simplified	1	5	2	2	1
peoplePairsExperiment	1003_35214_1297605849	Female	21	PeoplePairs	NA	43	1	1	6	2087	6	test	key	500	NA	D	3677	Yes	NA	NA	2_1	a congressman	an assassin	a terrorist	NA	you	killed	simplified	1	6	2	1	1
peoplePairsExperiment	1003_35214_1297605849	Female	21	PeoplePairs	NA	49	1	1	7	1562	6	test	key	500	NA	D	3851	Yes	NA	NA	1_2	a mentor	NA	a rapist	a nun	you	killed	simplified	1	7	1	2	1
peoplePairsExperiment	1003_35214_1297605849	Female	21	PeoplePairs	NA	55	1	1	8	3826	6	test	key	500	NA	D	9962	Yes	NA	NA	2_2	a police officer	a pedophile	a soldier	a pedophile	you	killed	simplified	1	8	2	2	1
peoplePairsExperiment	1003_35214_1297605849	Female	21	PeoplePairs	NA	61	1	1	9	57	6	test	key	500	NA	K	1938	No	NA	NA	1_1	a pedophile	NA	a teacher	NA	you	killed	simplified	1	9	1	1	1
peoplePairsExperiment	1003_35214_1297605849	Female	21	PeoplePairs	NA	67	1	1	10	3151	6	test	key	500	NA	K	3560	No	NA	NA	2_2	a pedophile	an elderly person	an astronaut	a celebrity	you	killed	simplified	1	10	2	2	1
peoplePairsExperiment	1003_35214_1297605849	Female	21	PeoplePairs	NA	73	1	1	11	1969	6	test	key	500	NA	D	6241	Yes	NA	NA	1_2	a police officer	NA	a pedophile	a judge	you	killed	simplified	1	11	1	2	1
peoplePairsExperiment	1003_35214_1297605849	Female	21	PeoplePairs	NA	79	1	1	12	3501	6	test	key	500	NA	D	5056	Yes	NA	NA	2_2	an elderly person	a nun	an astronaut	a rapist	you	killed	simplified	1	12	2	2	1
peoplePairsExperiment	1003_35214_1297605849	Female	21	PeoplePairs	NA	85	1	1	13	727	6	test	key	500	NA	D	6089	Yes	NA	NA	1_1	an adult	NA	an elderly person	NA	you	killed	simplified	1	13	1	1	1
peoplePairsExperiment	1003_35214_1297605849	Female	21	PeoplePairs	NA	91	1	1	14	1205	6	test	key	500	NA	D	5909	Yes	NA	NA	1_2	a father	NA	a rapist	an addict	you	killed	simplified	1	14	1	2	1
peoplePairsExperiment	1003_35214_1297605849	Female	21	PeoplePairs	NA	97	1	1	15	3101	6	test	key	500	NA	D	3536	Yes	NA	NA	2_2	a congressman	an adult	an assassin	a rapist	you	killed	simplified	1	15	2	2	1
peoplePairsExperiment	1003_35214_1297605849	Female	21	PeoplePairs	NA	103	1	1	16	658	6	test	key	500	NA	D	3502	Yes	NA	NA	1_1	a soldier	NA	an astronaut	NA	you	killed	simplified	1	16	1	1	1
peoplePairsExperiment	1003_35214_1297605849	Female	21	PeoplePairs	NA	109	1	1	17	2843	6	test	key	500	NA	K	7908	No	NA	NA	2_1	an Olympian	a police officer	a mother	NA	you	killed	simplified	1	17	2	1	1
peoplePairsExperiment	1003_35214_1297605849	Female	21	PeoplePairs	NA	115	1	1	18	3209	6	test	key	500	NA	D	6459	Yes	NA	NA	2_2	a judge	a nun	an adult	an Olympian	you	killed	simplified	1	18	2	2	1
