IA1	IA2	IB1	IB2	averageP	sdp	overlap	direction
a terrorist	NA	a mother	NA	0.00527370689655172	0.004393247123918	0.0105474137931034	-1
a judge	NA	a convict	NA	0.7928	0.0338641222945284	0.4144	1
a thief	NA	a pedophile	NA	0.72086974789916	0.0351858178947661	0.558260504201681	1
a pedophile	NA	an elderly person	NA	0.0140751879699248	0.00698977322545992	0.0281503759398496	-1
an astronaut	NA	an adult	NA	0.495125382262997	0.0272855499672439	0.990250764525994	-1
a congressman	NA	a celebrity	NA	0.462122549019608	0.0473611151804168	0.924245098039216	-1
an addict	NA	an assassin	NA	0.742264957264957	0.037848953606982	0.515470085470086	1
a gang member	NA	a soldier	NA	0.0752086956521739	0.0235564521443395	0.150417391304348	-1
a mentor	NA	a nun	NA	0.597138655462185	0.0444546511844407	0.80572268907563	1
a mother	NA	an adult	NA	0.74841742081448	0.0207940490516193	0.503165158371041	1
a police officer	NA	an olympian	NA	0.592334745762712	0.0444805302221906	0.815330508474576	1
a soldier	NA	a nun	NA	0.710129310344828	0.0405575817236578	0.579741379310345	1
an addict	NA	an elderly person	NA	0.213912213740458	0.0241467645927514	0.427824427480916	-1
an elderly person	NA	an astronaut	NA	0.554315789473684	0.0303370683446389	0.891368421052632	1
a congressman	NA	a police officer	NA	0.320051724137931	0.0424505485998099	0.640103448275862	-1
a convict	NA	a father	NA	0.0917520491803279	0.0179367075292173	0.183504098360656	-1
an assassin	NA	a rapist	NA	0.628866935483871	0.0376684103383093	0.742266129032258	1
a soldier	NA	a pedophile	NA	0.994666666666667	0.00615825544280594	0.0106666666666666	1
a terrorist	NA	an elderly person	NA	0.0279106463878327	0.00965754094679649	0.0558212927756654	-1
a celebrity	NA	a judge	NA	0.435072727272727	0.0454075068285755	0.870145454545455	-1
a celebrity	NA	a terrorist	NA	0.897646788990826	0.0271022664232512	0.204706422018349	1
a teacher	NA	a police officer	NA	0.508719917012448	0.031560456214726	0.982560165975104	1
an astronaut	NA	a gang member	NA	0.891792372881356	0.0288312906334555	0.216415254237288	1
a teacher	NA	a rapist	NA	0.982970588235294	0.00792855222567821	0.0340588235294117	1
a father	NA	a terrorist	NA	0.989663090128755	0.00614337869738308	0.0206738197424892	1
an adult	NA	a congressman	NA	0.650308176100629	0.0269614809478075	0.699383647798742	1
a mother	NA	a judge	NA	0.79506008583691	0.0261940610371373	0.40987982832618	1
a thief	NA	an adult	NA	0.109116564417178	0.017296128380551	0.218233128834356	-1
